Facility Code,Facility Name,Facility Description,Geographic Zone Code,Facility Type Code,Is Active,Facility Go Live Date,Enabled,Facility Is SDP
HF1,Marracuene,,MARRACUENE,CSRUR-I,TRUE,21/9/2015,TRUE,TRUE
HF2,Matalane,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF3,Machubo,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF4,Michafutane,,MARRACUENE,CSRUR-I,TRUE,21/9/2015,TRUE,TRUE
HF5,Nhongonhane (Ed.Mondl.),,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF6,Ricatla,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF7,Mumemo,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF8,Habel Jafar,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
HF9,Mali,,MARRACUENE,CSRUR-II,TRUE,21/9/2015,TRUE,TRUE
DDM1,Marracuene,Deposito Provincial de Medicamentos de Maputo,MARRACUENE,DDM,TRUE,21/9/2015,TRUE,TRUE
DPS1,Maputo,Deposito DIstrital de Medicamentos de Marracuene,MATOLA,DPM,TRUE,21/9/2015,TRUE,TRUE
